FID,allclasses,bikedir,boro,comments,facilitycl,fromstreet,ft_facilit,date_instd,time_instd,lanecount,date_modda,time_modda,onoffst,segment_id,street,tf_facilit,tostreet
13779,III,R,3, ,III,FLUSHING AV,Sharrows,1997-11-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9003627,TOMPKINS AV, ,MYRTLE AV
13780,III,R,3, ,III,FLUSHING AV,Sharrows,1997-11-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9003628,TOMPKINS AV, ,MYRTLE AV
13781,III,R,3, ,III,FLUSHING AV,Sharrows,1997-11-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9003629,TOMPKINS AV, ,MYRTLE AV
13782,III,R,3, ,III,FLUSHING AV,Sharrows,1997-11-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9003630,TOMPKINS AV, ,MYRTLE AV
13783,II,L,3, ,II,FLUSHING AV, ,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,9003631,THROOP AV,Standard,FULTON ST
13784,II,L,3, ,II,FLUSHING AV, ,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,9003632,THROOP AV,Standard,FULTON ST
13785,II,L,3, ,II,FLUSHING AV, ,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,9003633,THROOP AV,Standard,FULTON ST
13786,II,L,3, ,II,FLUSHING AV, ,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,9003634,THROOP AV,Standard,FULTON ST
13787,II,L,3, ,II,FLUSHING AV, ,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,9003635,THROOP AV,Standard,FULTON ST
13788,II,L,3, ,II,FLUSHING AV, ,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,9003637,THROOP AV,Standard,FULTON ST
13789,II,L,3, ,II,FLUSHING AV, ,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,9003638,THROOP AV,Standard,FULTON ST
13790,II,L,3, ,II,FLUSHING AV, ,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,9003639,THROOP AV,Standard,FULTON ST
