FID,allclasses,bikedir,boro,comments,facilitycl,fromstreet,ft_facilit,date_instd,time_instd,lanecount,date_modda,time_modda,onoffst,segment_id,street,tf_facilit,tostreet
14001,II,2,2, ,II,E 135 ST,Standard,2008-09-18,00:00:00.000,2,2008-09-18,00:00:00.000,ON,9004594,WILLIS AV,Standard,E 148 ST
14002,III,R,3, ,III,DIVISION AV,Sharrows,2008-08-19,00:00:00.000,1,2008-08-19,00:00:00.000,ON,9004623,WYTHE AV, ,ROSS ST
14003,III,R,3, ,III,DIVISION AV,Sharrows,2008-08-19,00:00:00.000,1,2008-08-19,00:00:00.000,ON,9004624,WYTHE AV, ,ROSS ST
14004,III,R,3, ,III,DIVISION AV,Sharrows,2008-08-19,00:00:00.000,1,2008-08-19,00:00:00.000,ON,9004626,WYTHE AV, ,ROSS ST
14005,III,R,3, ,III,DIVISION AV,Sharrows,2008-08-19,00:00:00.000,1,2008-08-19,00:00:00.000,ON,9004627,WYTHE AV, ,ROSS ST
14006,III,R,3, ,III,DIVISION AV,Sharrows,2008-08-19,00:00:00.000,1,2008-08-19,00:00:00.000,ON,9004628,WYTHE AV, ,ROSS ST
14007,III,R,3, ,III,DIVISION AV,Sharrows,2008-08-19,00:00:00.000,1,2008-08-19,00:00:00.000,ON,9004629,WYTHE AV, ,ROSS ST
14008,II,L,3, ,II,DIVISION AV, ,2007-04-01,00:00:00.000,1,2007-04-01,00:00:00.000,ON,9004648,BERRY ST,Standard,N 14 ST
14009,II,L,3, ,II,DIVISION AV, ,2007-04-01,00:00:00.000,1,2007-04-01,00:00:00.000,ON,9004649,BERRY ST,Standard,N 14 ST
14010,II,L,3, ,II,DIVISION AV, ,2007-04-01,00:00:00.000,1,2007-04-01,00:00:00.000,ON,9004650,BERRY ST,Standard,N 14 ST
14011,II,R,3, ,II,COOK ST,Standard,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,9004659,MANHATTAN AV, ,LEONARD ST
14012,II,R,3, ,II,COOK ST,Standard,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,9004660,MANHATTAN AV, ,LEONARD ST
14013,II,R,3, ,II,COOK ST,Standard,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,9004670,MANHATTAN AV, ,LEONARD ST
14014,II,R,3, ,II,COOK ST,Standard,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,9004671,MANHATTAN AV, ,LEONARD ST
14015,II,R,3, ,II,COOK ST,Standard,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,9004672,MANHATTAN AV, ,LEONARD ST
14016,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004696,LACONIA AVE,Standard,E 229 ST
14017,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004697,LACONIA AVE,Standard,E 229 ST
14018,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004698,LACONIA AVE,Standard,E 229 ST
14019,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004699,LACONIA AVE,Standard,E 229 ST
14020,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004700,LACONIA AVE,Standard,E 229 ST
14021,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004701,LACONIA AVE,Standard,E 229 ST
14022,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004702,LACONIA AVE,Standard,E 229 ST
14023,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004703,LACONIA AVE,Standard,E 229 ST
14024,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004704,LACONIA AVE,Standard,E 229 ST
14025,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004705,LACONIA AVE,Standard,E 229 ST
14026,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004706,LACONIA AVE,Standard,E 229 ST
14027,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004707,LACONIA AVE,Standard,E 229 ST
14028,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004708,LACONIA AVE,Standard,E 229 ST
14029,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004709,LACONIA AVE,Standard,E 229 ST
14030,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004710,LACONIA AVE,Standard,E 229 ST
14031,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004711,LACONIA AVE,Standard,E 229 ST
14032,II,2,2, ,II,BOSTON RD,Standard,2010-06-01,00:00:00.000,2,2017-10-06,00:00:00.000,ON,9004712,LACONIA AVE,Standard,E 229 ST
14033,III,R,1, ,III,2 AVE,Sharrows,2014-08-08,00:00:00.000,1,2014-08-08,00:00:00.000,ON,9004817,E 102 ST, ,1 AVE
14034,III,R,1, ,III,2 AVE,Sharrows,2014-08-08,00:00:00.000,1,2014-08-08,00:00:00.000,ON,9004818,E 102 ST, ,1 AVE
14035,III,R,1, ,III,2 AVE,Sharrows,2014-08-08,00:00:00.000,1,2014-08-08,00:00:00.000,ON,9004819,E 102 ST, ,1 AVE
14036,III,R,1, ,III,2 AVE,Sharrows,2014-08-08,00:00:00.000,1,2014-08-08,00:00:00.000,ON,9004820,E 102 ST, ,1 AVE
14037,III,R,1, ,III,2 AVE,Sharrows,2014-08-08,00:00:00.000,1,2014-08-08,00:00:00.000,ON,9004821,E 102 ST, ,1 AVE
14038,III,R,1, ,III,2 AVE,Sharrows,2014-08-08,00:00:00.000,1,2014-08-08,00:00:00.000,ON,9004822,E 102 ST, ,1 AVE
14039,III,R,1, ,III,2 AVE,Sharrows,2014-08-08,00:00:00.000,1,2014-08-08,00:00:00.000,ON,9004823,E 102 ST, ,1 AVE
14040,III,R,1, ,III,2 AVE,Sharrows,2014-08-08,00:00:00.000,1,2014-08-08,00:00:00.000,ON,9004825,E 102 ST, ,1 AVE
14041,III,R,1, ,III,2 AVE,Sharrows,2014-08-08,00:00:00.000,1,2014-08-08,00:00:00.000,ON,9004826,E 102 ST, ,1 AVE
14042,III,R,1, ,III,2 AVE,Sharrows,2014-08-08,00:00:00.000,1,2014-08-08,00:00:00.000,ON,9004827,E 102 ST, ,1 AVE
14043,III,R,1, ,III,2 AVE,Sharrows,2014-08-08,00:00:00.000,1,2014-08-08,00:00:00.000,ON,9004828,E 102 ST, ,1 AVE
14044,II,R,3, ,II,UTICA AV,Standard,2007-06-01,00:00:00.000,1,2007-06-01,00:00:00.000,ON,9004852,MAPLE ST, ,FLATBUSH AV
14045,II,R,3, ,II,UTICA AV,Standard,2007-06-01,00:00:00.000,1,2007-06-01,00:00:00.000,ON,9004853,MAPLE ST, ,FLATBUSH AV
14046,II,R,3, ,II,UTICA AV,Standard,2007-06-01,00:00:00.000,1,2007-06-01,00:00:00.000,ON,9004854,MAPLE ST, ,FLATBUSH AV
14047,II,L,3, ,II,NEW YORK AV, ,2007-06-01,00:00:00.000,1,2007-06-01,00:00:00.000,ON,9004855,E NEW YORK AV,Standard,UTICA AV
14048,II,L,3, ,II,NEW YORK AV, ,2007-06-01,00:00:00.000,1,2007-06-01,00:00:00.000,ON,9004856,E NEW YORK AV,Standard,UTICA AV
14049,II,L,3, ,II,NEW YORK AV, ,2007-06-01,00:00:00.000,1,2007-06-01,00:00:00.000,ON,9004857,E NEW YORK AV,Standard,UTICA AV
14050,II,L,3, ,II,NEW YORK AV, ,2007-06-01,00:00:00.000,1,2007-06-01,00:00:00.000,ON,9004858,E NEW YORK AV,Standard,UTICA AV
14051,II,L,3, ,II,NEW YORK AV, ,2007-06-01,00:00:00.000,1,2007-06-01,00:00:00.000,ON,9004859,E NEW YORK AV,Standard,UTICA AV
14052,II,L,3, ,II,DOUGLASS ST, ,2014-06-11,00:00:00.000,1,2014-06-11,00:00:00.000,ON,9004885,BOND STREET,Curbside,WYCKOFF ST
14053,II,L,3, ,II,DOUGLASS ST, ,2014-06-11,00:00:00.000,1,2014-06-11,00:00:00.000,ON,9004886,BOND STREET,Curbside,WYCKOFF ST
14054,II,L,3, ,II,DOUGLASS ST, ,2014-06-11,00:00:00.000,1,2014-06-11,00:00:00.000,ON,9004887,BOND STREET,Curbside,WYCKOFF ST
14055,II,L,3, ,II,DOUGLASS ST, ,2014-06-11,00:00:00.000,1,2014-06-11,00:00:00.000,ON,9004888,BOND STREET,Curbside,WYCKOFF ST
14056,II,L,3, ,II,DOUGLASS ST, ,2014-06-11,00:00:00.000,1,2014-06-11,00:00:00.000,ON,9004890,BOND STREET,Curbside,WYCKOFF ST
14057,II,L,3, ,II,DOUGLASS ST, ,2014-06-11,00:00:00.000,1,2014-06-11,00:00:00.000,ON,9004893,BOND STREET,Curbside,WYCKOFF ST
14058,II,L,3, ,II,DOUGLASS ST, ,2014-06-11,00:00:00.000,1,2014-06-11,00:00:00.000,ON,9004897,BOND STREET,Curbside,WYCKOFF ST
14059,II,L,3, ,II,DOUGLASS ST, ,2014-06-11,00:00:00.000,1,2014-06-11,00:00:00.000,ON,9004899,BOND STREET,Curbside,WYCKOFF ST
14060,II,L,3, ,II,DOUGLASS ST, ,2014-06-11,00:00:00.000,1,2014-06-11,00:00:00.000,ON,9004910,BOND STREET,Curbside,WYCKOFF ST
14061,II,L,3, ,II,DOUGLASS ST, ,2014-06-11,00:00:00.000,1,2014-06-11,00:00:00.000,ON,9004911,BOND STREET,Curbside,WYCKOFF ST
14062,II,L,3, ,II,DOUGLASS ST, ,2014-06-11,00:00:00.000,1,2014-06-11,00:00:00.000,ON,9004912,BOND STREET,Curbside,WYCKOFF ST
14063,II,L,3, ,II,DOUGLASS ST, ,2014-06-11,00:00:00.000,1,2014-06-11,00:00:00.000,ON,9004913,BOND STREET,Curbside,WYCKOFF ST
14064,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004915,HOYT ST, ,SCHERMERHORN ST
14065,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004916,HOYT ST, ,SCHERMERHORN ST
14066,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004917,HOYT ST, ,SCHERMERHORN ST
14067,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004918,HOYT ST, ,SCHERMERHORN ST
14068,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004921,HOYT ST, ,SCHERMERHORN ST
14069,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004922,HOYT ST, ,SCHERMERHORN ST
14070,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004930,HOYT ST, ,SCHERMERHORN ST
14071,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004931,HOYT ST, ,SCHERMERHORN ST
14072,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004932,HOYT ST, ,SCHERMERHORN ST
14073,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004933,HOYT ST, ,SCHERMERHORN ST
14074,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004934,HOYT ST, ,SCHERMERHORN ST
14075,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004935,HOYT ST, ,SCHERMERHORN ST
14076,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004936,HOYT ST, ,SCHERMERHORN ST
14077,III,2,3, ,III,HOYT ST,Sharrows,2012-12-15,00:00:00.000,2,2012-12-15,00:00:00.000,ON,9004937,BALTIC ST,Sharrows,BOND ST
14078,III,2,3, ,III,HOYT ST,Sharrows,2012-12-15,00:00:00.000,2,2012-12-15,00:00:00.000,ON,9004938,BALTIC ST,Sharrows,BOND ST
14079,III,2,3, ,III,HOYT ST,Sharrows,2012-12-15,00:00:00.000,2,2012-12-15,00:00:00.000,ON,9004939,BALTIC ST,Sharrows,BOND ST
14080,III,2,3, ,III,HOYT ST,Sharrows,2012-12-15,00:00:00.000,2,2012-12-15,00:00:00.000,ON,9004940,BALTIC ST,Sharrows,BOND ST
14081,III,2,3, ,III,HOYT ST,Sharrows,2012-12-15,00:00:00.000,2,2012-12-15,00:00:00.000,ON,9004941,BALTIC ST,Sharrows,BOND ST
14082,III,2,3, ,III,HOYT ST,Sharrows,2012-12-15,00:00:00.000,2,2012-12-15,00:00:00.000,ON,9004942,BALTIC ST,Sharrows,BOND ST
14083,III,2,3, ,III,HOYT ST,Sharrows,2012-12-15,00:00:00.000,2,2012-12-15,00:00:00.000,ON,9004944,BALTIC ST,Sharrows,BOND ST
14084,III,2,3, ,III,HOYT ST,Sharrows,2012-12-15,00:00:00.000,2,2012-12-15,00:00:00.000,ON,9004945,BALTIC ST,Sharrows,BOND ST
14085,III,2,3, ,III,HOYT ST,Sharrows,2012-12-15,00:00:00.000,2,2012-12-15,00:00:00.000,ON,9004946,BALTIC ST,Sharrows,BOND ST
14086,III,2,3, ,III,HOYT ST,Sharrows,2012-12-15,00:00:00.000,2,2012-12-15,00:00:00.000,ON,9004947,BALTIC ST,Sharrows,BOND ST
14087,III,2,3, ,III,HOYT ST,Sharrows,2012-12-15,00:00:00.000,2,2012-12-15,00:00:00.000,ON,9004948,BALTIC ST,Sharrows,BOND ST
14088,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004949,HOYT ST, ,SCHERMERHORN ST
14089,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004950,HOYT ST, ,SCHERMERHORN ST
14090,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004951,HOYT ST, ,SCHERMERHORN ST
14091,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004954,HOYT ST, ,SCHERMERHORN ST
14092,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004955,HOYT ST, ,SCHERMERHORN ST
14093,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004956,HOYT ST, ,SCHERMERHORN ST
14094,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004957,HOYT ST, ,SCHERMERHORN ST
14095,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004958,HOYT ST, ,SCHERMERHORN ST
14096,II,R,3, ,II,DOUGLASS ST,Curbside,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,9004959,HOYT ST, ,SCHERMERHORN ST
14097,II,2,3, ,II,MYRTLE AV,Standard,2004-06-01,00:00:00.000,2,2004-06-01,00:00:00.000,ON,9005039,NAVY ST,Standard,SANDS ST
14098,II,2,3, ,II,MYRTLE AV,Standard,2004-06-01,00:00:00.000,2,2004-06-01,00:00:00.000,ON,9005040,NAVY ST,Standard,SANDS ST
14099,II,2,3, ,II,MYRTLE AV,Standard,2004-06-01,00:00:00.000,2,2004-06-01,00:00:00.000,ON,9005041,NAVY ST,Standard,SANDS ST
14100,II,L,3, ,II,GREENPOINT AV, ,2008-05-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9005133,LEONARD ST,Standard,MOORE ST
14101,II,L,3, ,II,GREENPOINT AV, ,2008-05-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9005134,LEONARD ST,Standard,MOORE ST
14102,II,L,3, ,II,DIVISION AV, ,2007-04-01,00:00:00.000,1,2007-04-01,00:00:00.000,ON,9005166,BERRY ST,Standard,N 14 ST
14103,II,L,3, ,II,DIVISION AV, ,2007-04-01,00:00:00.000,1,2007-04-01,00:00:00.000,ON,9005168,BERRY ST,Standard,N 14 ST
14104,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005231,KNICKERBOCKER AVE,Standard,FLUSHING AVE
14105,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005232,KNICKERBOCKER AVE,Standard,FLUSHING AVE
14106,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005233,KNICKERBOCKER AVE,Standard,FLUSHING AVE
14107,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005234,KNICKERBOCKER AVE,Standard,FLUSHING AVE
14108,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005235,KNICKERBOCKER AVE,Standard,FLUSHING AVE
14109,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005236,KNICKERBOCKER AVE,Standard,FLUSHING AVE
14110,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005237,KNICKERBOCKER AVE,Standard,FLUSHING AVE
14111,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005429,KNICKERBOCKER AVE,Standard,FLUSHING AVE
14112,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005430,KNICKERBOCKER AVE,Standard,FLUSHING AVE
