FID,segmentid,street,boro,facilitycl,fromstreet,tostreet,onoffst,allclasses,instdate,moddate,comments,bikedir,lanecount,ft_facilit,tf_facilit
11898,232221,84 ST,4,I,SHORE PKWY SR,157 AV,OFF,I,2008-04-01T00:00:00,2008-04-01T00:00:00, ,R,1,Greenway, 
11899,166199,111 ST,1,II,5 AVE,UNNAMED ST,ON,II,2017-12-18T00:00:00,2017-12-18T00:00:00, ,L,1, ,Standard
11900,31123,GRAND ST,3,I,UNION AV,WATERBURY ST,ON,I,2018-12-24T00:00:00,2018-12-24T00:00:00,Previously part of bike ID 1205,2,2,Protected Path,Protected Path
11901,38344,W 111 ST,1,II,5 AV,FREDEREICK DOUGLASS BL,ON,II,2018-09-21T00:00:00,2018-09-21T00:00:00, ,R,1,Standard, 
11902,152521,METROPOLITAN AVE,3,II,VARICK AVE,SCOTT AVE,ON,II,2016-12-16T00:00:00,2016-12-16T00:00:00, ,R,1,Standard, 
11903,68976,21 ST,4,II,20 AV,HOYT AV S,ON,II,2010-07-01T00:00:00,2010-07-01T00:00:00, ,2,2,Standard,Standard
11904,173897,MACOMBS DAM BR,2,III,JEROME AV,E 161 ST,ON,III,2002-06-01T00:00:00,2002-06-01T00:00:00, ,2,2,Signed Route,Signed Route
11905,227244,PERIMETER RD,4,III,AMPHITHEATRE BR,BOTANICAL GRDN BR,ON,III,2000-01-01T00:00:00,2000-01-01T00:00:00, ,2,2,Signed Route,Signed Route
11906,28992,WEST DR,3,I,PP GAP ENTRANCE,W LAKE DR,OFF,I,1980-07-01T00:00:00,2012-06-20T00:00:00,Prospect Park Auto-Free Hours: Closed to Cars,R,1,Greenway, 
11907,230714,OCEAN PKWY,3,I,SEA BREEZE AV,CHURCH AV,OFF,I,1900-01-01T00:00:00,1900-01-01T00:00:00,Bicycling Permitted on West Mall Only,2,2,Greenway,Greenway
11908,9001182,31 AVE,4,II,49 ST,51 ST,ON,II,2016-10-14T00:00:00,2016-10-14T00:00:00, ,2,2,Standard,Standard
11909,156219,QUEENS BLVD,4,I,73 ST,50 ST,ON,I,2015-10-09T00:00:00,2015-10-09T00:00:00, ,L,1, ,Protected Path
11910,128492,EMPIRE BLVD,3,II,BEDFORD AV,UTICA AV,ON,II,2009-07-01T00:00:00,2009-07-01T00:00:00, ,2,2,Standard,Standard
11911,145169,CO-OP CITY BOULEVARD,2,II,BARTOW AVE,DREISER LOOP,ON,II,2013-07-30T00:00:00,2013-07-30T00:00:00, ,R,1,Standard, 
11912,237248,SHORE RD GREENWAY,2,I,PELHAM BR,PARK DR,OFF,I,1999-10-01T00:00:00,1999-10-01T00:00:00, ,2,2,Greenway,Greenway
11913,150520,QUEENS BLVD,4,I,WOODHAVEN BLVD,ELIOT AVE,ON,I,2016-12-13T00:00:00,2016-12-13T00:00:00, ,2,2,Protected Path,Protected Path
11914,26914,AV H,3,III,CAMPUS RD,OCEAN PKWY,ON,III,2009-07-01T00:00:00,2009-07-01T00:00:00, ,2,2,Sharrows,Sharrows
11915,81123,BROADWAY,2,I,LAKEVIEW PL,W 256 ST,ON,I,2012-11-01T00:00:00,2018-09-21T00:00:00, ,2,2,Protected Path,Protected Path
11916,302504,WEST END AV,1,III,W 72 ST,W 107 ST,ON,III,2014-11-14T00:00:00,2014-11-14T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
11917,47409,PITKIN AVE,3,III,POWELL ST,PENNSYLVANIA AVE,ON,III,2015-08-19T00:00:00,2015-08-19T00:00:00, ,2,2,Sharrows,Sharrows
11918,242408,BX SHORE RD,1,I,HARLEM RIVER PATHWAY,ROBERT F KENNEDY BR,OFF,I,1936-01-01T00:00:00,1936-01-01T00:00:00, ,2,2,Greenway,Greenway
11919,168400,VERMONT ST,3,III,SUNNYSIDE AV,COZINE AV,ON,III,2009-10-01T00:00:00,2009-10-01T00:00:00, ,L,1, ,Sharrows
11920,149457,CYPRESS HILLS ST,4,I,COOPER AVE,CEMETERY ENTRANCE,ON,I,2000-01-01T00:00:00,2017-12-30T00:00:00, ,R,1,Protected Path, 
11921,73158,W 230 ST,2,III,MARBLE HILL AV,TIBBETT AV,ON,III,2009-05-27T00:00:00,2009-05-27T00:00:00, ,2,2,Sharrows,Sharrows
11922,158433,DR M L KING JR BLVD,2,II,EDWARD L GRANT HWY,W TREMONT AV,ON,II,2002-06-01T00:00:00,2002-06-01T00:00:00, ,R,1,Standard, 
11923,9000901,E 105 ST,1,II,FDR SERVICE RD,1 AV,ON,II,2018-07-01T00:00:00,2018-07-01T00:00:00, ,L,1, ,Standard
11924,293729,E 56 ST,3,II,FARRAGUT RD,AV T,ON,II,2003-05-01T00:00:00,2003-05-01T00:00:00, ,R,1,Standard, 
11925,231290,SHORE PKWY GREENWAY W,3,I,BAY PKWY,SHORE RD,OFF,I,1941-01-01T00:00:00,1941-01-01T00:00:00, ,2,2,Greenway,Greenway
11926,53628,BOARDWALK,4,I,BEACH 126 St,BEACH 39 ST,OFF,I,1970-01-01T00:00:00,2014-01-01T00:00:00,Boardwalk open 6am-10am: Bicycles allowed at all times except Weekends 10am-6pm May-September,2,2,Boardwalk,Boardwalk
11927,9005125,SCHOLES ST,3,II,UNION AVE,MORGAN AVE,ON,II,2017-06-26T00:00:00,2017-06-26T00:00:00, ,R,1,Standard, 
11928,111956,108 ST,4,III,ROOSEVELT AVE,34 AVE,ON,III,2017-08-28T00:00:00,2017-08-28T00:00:00, ,2,2,Sharrows,Sharrows
11929,82143,63 RD,4,III,QUEENS BLVD,GRND CNTRL PKWY,ON,III,2012-08-17T00:00:00,2012-08-17T00:00:00, ,R,1,Bike-Friendly Parking, 
11930,302011,E 91 ST,1,II,3 AV,5 AV,ON,II,2007-08-01T00:00:00,2007-08-01T00:00:00, ,L,1, ,Standard
11931,35528,PROVOST ST,3,III,PAIDGE AV,GREENPOINT AV,ON,III,2008-07-28T00:00:00,2008-07-28T00:00:00, ,2,2,Sharrows,Sharrows
11932,298176,PARK AV,2,II,E 173 ST,E 188 ST,ON,II,2006-11-01T00:00:00,2006-11-01T00:00:00, ,L,1, ,Standard
11933,301932,AMSTERDAM AVE,1,I,72 ST,110 ST,ON,I,2016-12-23T00:00:00,2016-12-23T00:00:00, ,R,1,Protected Path, 
11934,23801,HENRY ST,3,III,AMITY ST,UNION ST,ON,III,1980-07-01T00:00:00,1980-07-01T00:00:00, ,R,1,Signed Route, 
11935,9001183,31 AVE,4,II,49 ST,51 ST,ON,II,2016-10-14T00:00:00,2016-10-14T00:00:00, ,2,2,Standard,Standard
11936,299553,HAY ROAD,1,I,CRAIG RD N,CLAYTON RD,OFF,I,2013-10-25T00:00:00,2013-10-25T00:00:00, ,2,2,Greenway,Greenway
11937,166114,FDR DR GREENWAY,1,I,E 125 ST,E 60 ST,OFF,I,1939-01-01T00:00:00,1939-01-01T00:00:00, ,2,2,Greenway,Greenway
11938,153322,BEACH 108 ST,4,II,ROCKAWAY BEACH BLVD,SHORE FRONT PKWY,ON,II,2008-11-14T00:00:00,2008-11-14T00:00:00, ,L,1, ,Standard
11939,32776,E 9 ST,1,II,AV OF THE AMERICAS,AV A,ON,II,2004-11-01T00:00:00,2004-11-01T00:00:00, ,L,1, ,Standard
11940,75438,31 AVE,4,II,54 ST,74 ST,ON,II,2016-10-14T00:00:00,2016-10-14T00:00:00, ,2,2,Standard,Standard
11941,60456,LINDEN BLVD,4,III,157 ST,NEWBURG ST,ON,III,2008-05-01T00:00:00,2008-05-01T00:00:00, ,2,2,Sharrows,Sharrows
11942,301505,EAST RIVER ESPLANADE,1,I,SOUTH ST,OLD SLIP,OFF,I,1998-01-01T00:00:00,1998-01-01T00:00:00, ,2,2,Greenway,Greenway
11943,148826,FOOD CENTER DR,2,I,HALLECK ST,FARRAGUT ST,OFF,I,2016-05-01T00:00:00,2016-05-01T00:00:00, ,2,2,Greenway,Greenway
11944,9005835,MADISON ST,1,III,GOUVERNEUR ST,GRAND ST,ON,III,2006-10-01T00:00:00,2006-10-01T00:00:00, ,2,2,Sharrows,Sharrows
