FID,segmentid,street,boro,facilitycl,fromstreet,tostreet,onoffst,allclasses,instdate,moddate,comments,bikedir,lanecount,ft_facilit,tf_facilit
0,150483,63 AVE,4,III,WOODHAVEN BLVD,82 PLACE,ON,III,2016-11-25T00:00:00,2016-11-25T00:00:00, ,L,1, ,Sharrows
1,9009151,NEPTUNE AV,3,II,W 37 ST,BRIGHTON 8 ST,ON,II,2005-08-01T00:00:00,2005-08-01T00:00:00, ,L,1, ,Standard
2,252570,84 ST,4,II,SHORE PKWY SR,157 AV,ON,II,2008-04-01T00:00:00,2008-04-01T00:00:00, ,R,1,Standard, 
3,253073,P P BARTEL PRITCHARD SQ APPR,3,I,PROSPECT PARK W,WEST DR,OFF,I,1980-07-01T00:00:00,1980-07-01T00:00:00,Prospect Park Auto-Free Hours: Closed to Cars,2,2,Greenway,Greenway
4,313087,GREENWICH ST,1,II,CANAL ST,GANSEVOORT ST,ON,II,2008-04-01T00:00:00,2008-04-01T00:00:00, ,R,1,Standard, 
5,37218,COLUMBUS AV,1,I,W 96 ST,W 77 ST,ON,I,2010-08-01T00:00:00,2010-08-01T00:00:00, ,L,1, ,Protected Path
6,162747,WASHINGTON ST,3,III,PROSPECT ST,YORK ST,ON,III,2008-10-27T00:00:00,2008-10-27T00:00:00, ,L,1, ,Sharrows
7,27937,PROSPECT PARK SW,3,III,PARK CIR,WINDSOR PL,ON,III,2012-04-17T00:00:00,2012-04-17T00:00:00,"original installation had WPL on both sides, in 2015 an update changed it to one NB WPL",L,1, ,Bike-Friendly Parking
8,9005896,JACKSON ST,1,III,CHERRY ST,MADISON ST,ON,III,2017-07-05T00:00:00,2017-07-05T00:00:00, ,L,1, ,Sharrows
9,9008000,SANDS ST,3,I,NAVY ST,JAY ST GREENWAY,ON,I,2009-11-01T00:00:00,2009-11-01T00:00:00, ,R,1,Protected Path, 
10,70472,WALNUT AV,2,III,E 132 ST,E 138 ST,ON,III,2013-11-07T00:00:00,2013-11-07T00:00:00, ,2,2,Sharrows,Sharrows
11,29540,BERGEN ST,3,II,COURT ST,RALPH AV,ON,II,2003-11-01T00:00:00,2003-11-01T00:00:00, ,L,1, ,Standard
12,9004859,E NEW YORK AV,3,II,NEW YORK AV,UTICA AV,ON,II,2007-06-01T00:00:00,2007-06-01T00:00:00, ,L,1, ,Standard
13,18977,SHORE PKWY,3,III,CROPSEY AV,24 AV,ON,III,1998-07-01T00:00:00,1998-07-01T00:00:00, ,L,1, ,Signed Route
14,155708,CYPRESS HILLS ST,4,I,COOPER AVE,CEMETERY ENTRANCE,ON,I,2000-01-01T00:00:00,2017-12-30T00:00:00, ,R,1,Protected Path, 
15,243878,HARLEM RIVER DR GREENWAY,1,I,W 155 ST,10 AV,OFF,I,2003-08-01T00:00:00,2003-08-01T00:00:00, ,2,2,Greenway,Greenway
16,259081,FDR DR GREENWAY,1,I,E 125 ST,E 60 ST,OFF,I,1939-01-01T00:00:00,1939-01-01T00:00:00, ,2,2,Greenway,Greenway
17,45366,KNICKERBOCKER AVE,3,II,COOPER AVE,FLUSHING AVE,ON,II,2016-08-26T00:00:00,2016-08-26T00:00:00, ,L,1, ,Standard
18,15106,VAN DUZER ST,5,II,ROFF ST,CORNELL PL,ON,II,2017-10-17T00:00:00,2017-10-17T00:00:00, ,R,1,Curbside, 
19,133195,SHORE FRONT PKWY,4,I,SHORE FRONT PKWY CONNECTOR,BEACH 74 ST,ON,I,2006-09-01T00:00:00,2017-07-31T00:00:00, ,2,2,Protected Path,Protected Path
20,31367,MANHATTAN AV,3,III,BROADWAY,COOK ST,ON,III,2003-06-01T00:00:00,2003-06-01T00:00:00, ,R,1,Signed Route, 
21,49146,CYPRESS HILLS ST,4,III,MYRTLE AVE,COOPER AVE,ON,III,2014-11-10T00:00:00,2014-11-10T00:00:00, ,R,1,Sharrows, 
22,102946,82 AVE,4,II,COMMONWEALTH BLVD,268 ST,ON,II,2017-06-28T00:00:00,2017-06-28T00:00:00, ,2,2,Standard,Standard
23,118036,ORCHARD BEACH BOARDWALK,2,I,PELHAM BAY PARK,PELHAM BAY PARK,OFF,I,1938-07-01T00:00:00,1938-07-01T00:00:00,Bicycles permitted 6-9am only,2,2,Boardwalk,Boardwalk
24,165611,E 59 ST,1,II,2 AV,QBB on-ramp,ON,"III,II",2013-11-06T00:00:00,2013-11-06T00:00:00, ,2,2,Sharrows,Curbside
25,182615,260 ST,4,II,260 ST,260 ST,ON,II,2017-06-28T00:00:00,2017-06-28T00:00:00, ,R,1,Standard, 
26,242960,BROOKLYN BR,1,I,PARK ROW,TILLARY ST,ON,I,1966-01-01T00:00:00,1966-01-01T00:00:00,Bridge,2,2,Protected Path,Protected Path
27,258293,PETER MINUIT PLAZA GREENWAY,1,I,EAST RIVER ESPLANADE,BATTERY PARK GREENWAY,OFF,I,2010-08-01T00:00:00,2010-08-01T00:00:00, ,2,2,Greenway,Greenway
28,239907,HUNTS PT AVE,2,II,GARRISON AVE,BRUCKNER BLVD,ON,II,2015-10-01T00:00:00,2015-10-01T00:00:00, ,2,2,Standard,Standard
29,67552,29 ST,4,II,QUEENS PLZ N,34 AV,ON,II,2009-05-01T00:00:00,2009-05-01T00:00:00, ,L,1, ,Standard
30,146000,ROCKAWAY PKWY,3,II,EAST NEW YORK AV,DITMAS AV,ON,II,2010-10-01T00:00:00,2010-10-01T00:00:00, ,R,1,Standard, 
31,9002052,ST JOHNS PL,3,II,NEW YORK AVE,HOWARD AVE,ON,II,2016-09-20T00:00:00,2016-09-20T00:00:00, ,2,2,Standard,Standard
32,310692,CENTRAL PARK W,1,I,W 62 ST,W 77 ST,ON,I,2001-11-01,2019-08-19,Previously part of bikeid 180,R,1,Protected Path, 
33,238522,FT WASHINGTON PARK BICYCLE TRAIL,1,I,W 145 ST,W 181 ST,OFF,I,1999-07-01T00:00:00,1999-07-01T00:00:00, ,2,2,Greenway,Greenway
34,132255,80 ST,4,III,64 RD,JUNIPER BLVD S,ON,III,2015-11-01T00:00:00,2015-11-01T00:00:00, ,2,2,Sharrows,Sharrows
35,230764,OCEAN PKWY,3,I,SEA BREEZE AV,CHURCH AV,OFF,I,1900-01-01T00:00:00,1900-01-01T00:00:00,Bicycling Permitted on West Mall Only,2,2,Greenway,Greenway
36,17052,FT HAMILTON PARKWAY,3,III,92 ST,MARINE AVE,ON,III,2015-06-29T00:00:00,2015-06-29T00:00:00, ,2,2,Sharrows,Sharrows
37,115259,C P W 77 APPR,1,I,CENTRAL PARK W,WEST DR,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Greenway,Greenway
38,130567,32 AVE,4,II,93 ST,74 ST,ON,II,2016-10-14T00:00:00,2016-10-14T00:00:00, ,L,1, ,Standard
39,311229,HUNTS PT AV,2,II,GARRISON AVE,SPOFFORD AVE,ON,II,2011-11-01T00:00:00,2011-11-01T00:00:00, ,2,2,Standard,Standard
40,113065,ST ANNS AV,2,III,E 135 ST,E 149 ST,ON,III,2003-05-01T00:00:00,2003-05-01T00:00:00, ,2,2,Sharrows,Sharrows
41,294522,WEST END AV,1,III,W 72 ST,W 107 ST,ON,III,2014-11-14T00:00:00,2014-11-14T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
42,259678,SHORE PKWY GREENWAY W,3,I,BAY PKWY,SHORE RD,OFF,I,1941-01-01T00:00:00,1941-01-01T00:00:00, ,2,2,Greenway,Greenway
43,150229,FRANCIS LEWIS BLVD,4,II,120 AV,121 AV,ON,II,2003-06-01T00:00:00,2003-06-01T00:00:00, ,R,1,Standard, 
44,37199,CENTRAL PARK W,1,I,W 62 ST,W 77 ST,ON,I,2001-11-01,2019-08-19,Previously part of bikeid 180,R,1,Protected Path, 
45,37749,1 AV,1,I,E 72 ST,E 96 ST,ON,I,1981-01-01T00:00:00,2013-10-10T00:00:00, ,R,1,Protected Path, 
46,145078,CROPSEY AV,3,III,NEPTUNE AV,SHORE PKWY SR N,ON,III,1998-07-01T00:00:00,1998-07-01T00:00:00, ,R,1,Signed Route, 
47,256700,BORINQUEN PL,3,II,MARCY AV,HOOPER ST,ON,II,2009-04-28T00:00:00,2009-04-28T00:00:00, ,R,1,Curbside, 
48,118044,MN BEACH BOARDWALK,3,I,OCEAN AV,MACKENZIE ST,OFF,I,1955-07-01T00:00:00,1955-07-01T00:00:00,Bicycles permitted 5-10am only,2,2,Boardwalk,Boardwalk
49,271539,FT HAMILTON PKWY,3,I,E 7 ST,E 5 ST,ON,I,2009-11-01T00:00:00,2009-11-01T00:00:00, ,R,1,Protected Path, 
50,21858,CLINTON ST,3,II,BAY ST,BUSH ST,ON,II,2007-08-01T00:00:00,2007-08-01T00:00:00, ,L,1, ,Standard
51,312235,HUTCHINSON RIVER GREENWAY,2,I,BRUCKNER EP GREENWAY,SHORE RD GREENWAY,OFF,I,2013-10-31T00:00:00,2013-10-31T00:00:00, ,2,2,Greenway,Greenway
52,9009546,2 AV,1,I,E 125 ST,E 104 ST,ON,I,2012-10-26T00:00:00,2012-10-26T00:00:00, ,L,1, ,Protected Path
53,176899,ELIOT AVE,4,I,QUEENS BLVD N SERVICE RD,QUEENS BLVD S SERVICE RD,ON,I,2016-12-13T00:00:00,2016-12-13T00:00:00, ,2,2,Protected Path,Protected Path
54,22822,BOND STREET,3,II,WYCKOFF ST,SCHERMERHORN ST,ON,II,2014-06-11T00:00:00,2015-11-14T00:00:00, ,L,1, ,Curbside
55,33246,AV A,1,II,E HOUSTON ST,E 14 ST,ON,II,2009-04-08T00:00:00,2009-04-08T00:00:00, ,2,2,Standard,Standard
56,183448,QUEENS BLVD SR,4,III,QUEENS BLVD,YELLOWSTONE BLVD,ON,III,2017-12-11T00:00:00,2017-12-11T00:00:00, ,R,1,Sharrows, 
57,145015,GRAND CONCOURSE,2,II,E 161 ST,VAN CORTLANDT AVE E,ON,II,2009-05-01T00:00:00,2009-05-01T00:00:00, ,L,1, ,Standard
58,150378,SURF AV,3,III,OCEAN PKWY,W 17 ST,ON,III,1998-07-01T00:00:00,1998-07-01T00:00:00, ,R,1,Signed Route, 
59,43252,LEFFERTS AV,3,II,UTICA AV,E NEW YORK AV,ON,"III,II",2009-07-01T00:00:00,2009-07-01T00:00:00, ,2,2,Sharrows,Standard
60,33901,6 AV,1,I,W 32 ST,BROADWAY,ON,I,1978-07-01,2019-08-21,previously part of bikeID 100,2,2,Protected Path,Protected Path
61,153665,FRANCIS LEWIS BLVD,4,II,120 AV,121 AV,ON,II,2003-06-01T00:00:00,2003-06-01T00:00:00, ,R,1,Standard, 
62,67497,SKILLMAN AV,4,I,56 ST,32 PL,ON,I,2008-05-01T00:00:00,2018-10-25T00:00:00, ,L,1,Protected Path,Protected Path
63,310639,E 10 ST,1,II,GREENWICH AV,AV A,ON,II,2004-11-01T00:00:00,2004-11-01T00:00:00, ,R,1,Standard, 
64,87621,E 213 ST,2,II,SHOELACE PARK GWY,BARNES AVE,ON,II,2017-10-06T00:00:00,2017-10-06T00:00:00, ,R,1,Standard, 
65,297530,SOUNDVIEW PARK GREENWAY,2,I,LAFAYETTE AV,SOUNDVIEW PARK GREENWAY,OFF,I,2011-07-01T00:00:00,2011-07-01T00:00:00, ,2,2,Greenway,Greenway
66,72380,W TREMONT AVE,2,II,UNIVERSITY AVE,CRESTON AVE,ON,II,2016-08-30T00:00:00,2016-08-30T00:00:00, ,2,2,Standard,Standard
67,9000487,BLAKE AV,3,II,SNEDIKER AV,FOUNTAIN AV,ON,II,2015-10-01T00:00:00,2015-10-01T00:00:00, ,R,1,Standard, 
68,230360,SNUG HARBOR GREENWAY,5,I,SI RAPID TRANSIT GREENWAY,SNUG HARBOR RD,OFF,I,1999-11-01T00:00:00,1999-11-01T00:00:00, ,2,2,Greenway,Greenway
69,45106,CENTRAL AV,3,II,MYRTLE AV,DECATUR ST,ON,II,2007-07-01T00:00:00,2007-07-01T00:00:00, ,R,1,Standard, 
70,87698,BURKE AVE,2,II,LACONIA AVE,BRONX BLVD,ON,II,2014-09-26T00:00:00,2017-10-06T00:00:00, ,2,2,Standard,Standard
71,46589,NEW LOTS AVE,3,III,HEGEMAN AV,ATKINS AVENUE,ON,III,2013-11-13T00:00:00,2013-11-13T00:00:00, ,2,2,Sharrows,Sharrows
72,236770,SHORE RD GREENWAY,2,I,BRUCKNER BL,PELHAM BR,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Greenway,Greenway
73,32261,7 AV,1,I,11 ST,GROVE ST,ON,I,2018-09-11T00:00:00,2018-09-11T00:00:00, ,L,1, ,Protected Path
74,45080,WOODWARD AVE,4,III,FLUSHING AVE,METROPOLITAN AVE,ON,III,2016-12-16T00:00:00,2016-12-16T00:00:00, ,2,2,Signed Route,Signed Route
75,48112,BLAKE AV,3,II,SNEDIKER AV,FOUNTAIN AV,ON,II,2015-10-01T00:00:00,2015-10-01T00:00:00, ,R,1,Standard, 
76,85614,LAFAYETTE AV,2,II,METCALF AV,HAVEMEYER AV,ON,II,2007-09-01T00:00:00,2007-09-01T00:00:00, ,2,2,Standard,Standard
77,147814,11 St,4,III,JACKSON AV,47 AV,ON,III,2014-04-21T00:00:00,2014-04-21T00:00:00,Previously part of bikeID1559,L,1,Sharrows, 
78,298080,CUNNINGHAM PARK TRAIL,4,I,67 AV,210 ST,OFF,I,2007-05-01T00:00:00,2007-05-01T00:00:00, ,R,1,Dirt Trail, 
79,162246,DE GRAW ST,3,II,5 AV,3 AV,ON,II,2008-06-25T00:00:00,2008-06-25T00:00:00, ,L,1, ,Standard
80,106496,80 ST,4,II,77 RD,ATLAS PARK,ON,II,2015-11-01T00:00:00,2015-11-01T00:00:00, ,2,2,Curbside,Curbside
81,45434,ONDERDONK AVENUE,4,II,FLUSHING AVE,69 AVE,ON,II,2014-08-21T00:00:00,2014-08-21T00:00:00, ,R,1,Standard, 
82,34073,7 AVE,1,I,W 46 ST,W 42 ST,ON,I,2016-12-12T00:00:00,2016-12-12T00:00:00, ,L,1, ,Protected Path
83,301903,SNUG HARBOR GREENWAY,5,I,SI RAPID TRANSIT GREENWAY,SNUG HARBOR RD,OFF,I,1999-11-01T00:00:00,1999-11-01T00:00:00, ,2,2,Greenway,Greenway
84,70320,WILLOW AVE,2,I,E 138 ST,E 133 ST,ON,I,2017-12-30T00:00:00,2017-12-30T00:00:00, ,2,2,Protected Path,Protected Path
85,150146,QUEENS BLVD,4,I,YELLOWSTONE BLVD,ELIOT AVE,ON,I,2017-12-11T00:00:00,2017-12-11T00:00:00, ,L,1, ,Protected Path
86,23985,BOERUM PL,3,II,BERGEN ST,ATLANTIC AV,ON,II,2004-06-01T00:00:00,2004-06-01T00:00:00, ,R,1,Standard, 
87,127357,BEDFORD AV,3,II,EMMONS AV,DIVISION AV,ON,II,1997-08-01T00:00:00,1997-08-01T00:00:00, ,2,2,Standard,Standard
88,0,BROOKFIELD PARK GWY,5,I,BROOKFIELD PARK GWY ENTRY DRIVE,BROOKFIELD PARK GWY,OFF,I,2017-12-12T00:00:00,2017-12-12T00:00:00, ,2,2,Greenway,Greenway
89,300553,WEST DR,1,I,TERRACE DR,CENTRAL PARK S,ON,I,1979-05-01T00:00:00,2018-06-27,autos limited in 2012-07-09.  totally auto free in 2018,L,1, ,Greenway
90,286330,MARINE PARK GREENWAY,3,I,FILMORE AV,AV U,OFF,I,1979-01-01T00:00:00,1979-01-01T00:00:00, ,2,2,Greenway,Greenway
91,312102,HUNTS PT AV,2,II,GARRISON AVE,SPOFFORD AVE,ON,II,2011-11-01T00:00:00,2011-11-01T00:00:00, ,2,2,Standard,Standard
92,72765,SEAMAN AV,1,II,DYCKMAN ST,W 215 ST,ON,"II,III",2003-06-01T00:00:00,2003-06-01T00:00:00,"changed to shared SB, lane NB",2,2,Standard,Sharrows
93,120989,HIGHBRIDGE GREENWAY,2,I,MN/BX BOUNDARY,UNIVERSITY AVE,OFF,I,2015-07-01T00:00:00,2015-07-01T00:00:00, ,2,2,Greenway,Greenway
94,29100,LAFAYETTE AV,3,II,FULTON ST,CLASSON AV,ON,II,2012-10-10T00:00:00,2016-06-16T00:00:00, ,R,1,Standard, 
95,9002807,W 91 ST,1,II,CENTRAL PARK W,RIVERSIDE DR,ON,II,2006-09-01T00:00:00,2006-09-01T00:00:00, ,R,1,Standard, 
96,9007680,JEWEL AV,4,II,PARK DR E,164 ST,ON,II,2007-10-01T00:00:00,2007-10-01T00:00:00, ,L,1, ,Standard
97,33006,5 AV,1,II,BROADWAY,W 23 ST,ON,II,1978-07-01T00:00:00,1978-07-01T00:00:00, ,L,1, ,Curbside
98,32812,E 17 ST,1,II,BROADWAY,5 AVE,ON,II,2016-09-26T00:00:00,2016-09-26T00:00:00, ,L,1, ,Standard
99,31767,W BROADWAY,1,II,BEACH ST,READE ST,ON,II,2013-11-26T00:00:00,2013-11-26T00:00:00, ,L,1, ,Standard
100,9024256,ST JOHNS PL,3,II,NEW YORK AVE,HOWARD AVE,ON,II,2016-09-20T00:00:00,2016-09-20T00:00:00, ,2,2,Standard,Standard
101,155784,MAIN ST,4,III,HOOVER AV,77 RD,ON,III,2000-01-01T00:00:00,2010-06-01T00:00:00, ,L,1, ,Sharrows
102,9006663,ADAM C POWELL BLVD,1,III,W 133 ST,W 150 ST,ON,III,2012-11-06T00:00:00,2012-11-06T00:00:00, ,R,1,Bike-Friendly Parking, 
103,292893,PENNSYLVANIA AVENUE,3,III,FLATLANDS AVE,SEAVIEW AVE,ON,III,2013-10-20T00:00:00,2013-10-20T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
104,185863,BROOKLYN AVENUE,3,III,ATLANTIC AVE,PACIFIC ST,ON,III,2015-06-01T00:00:00,2015-06-01T00:00:00, ,R,1,Sharrows, 
105,275357,BLEECKER ST,1,II,8 AV,BOWERY,ON,II,2007-11-01T00:00:00,2007-11-01T00:00:00, ,L,1, ,Curbside
106,72236,W TREMONT AVE,2,II,UNIVERSITY AVE,CRESTON AVE,ON,II,2016-08-30T00:00:00,2016-08-30T00:00:00, ,2,2,Standard,Standard
107,217551,E 71 ST,1,II,YORK AVE,5 AVE,ON,II,2016-08-09T00:00:00,2016-08-09T00:00:00, ,L,1, ,Standard
108,242233,G WASHINGTON BR,1,I,W 178 ST,NY-NJ BNDY,ON,I,1936-01-01T00:00:00,1936-01-01T00:00:00,Bridge,2,2,Protected Path,Protected Path
109,296710,HIGHLAND BLVD GREENWAY,3,I,JAMAICA AV,HIGHLAND BLVD,OFF,I,2004-11-01T00:00:00,2004-11-01T00:00:00, ,L,1, ,Greenway
110,23505,DOVER ST,1,III,PEARL ST,SOUTH ST,ON,III,2018-06-15T00:00:00,2018-06-15T00:00:00, ,R,1, ,Sharrows
111,241017,W 68 ST PED OVPS,1,I,W 68 ST,HUDSON RIVER GREENWAY,OFF,I,2001-04-01T00:00:00,2001-04-01T00:00:00, ,2,2,Greenway,Greenway
112,310533,WEST END AV,1,III,W 72 ST,W 107 ST,ON,III,2014-11-14T00:00:00,2014-11-14T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
113,272800,LIC GREENWAY,4,I,54 AV,50 AV,OFF,I,2013-10-15T00:00:00,2013-10-15T00:00:00, ,2,2,Greenway,Greenway
114,9001106,1 AV,1,I,E 96 ST,E 124 ST,ON,I,1981-01-01T00:00:00,2013-10-18T00:00:00, ,R,1,Protected Path, 
115,17693,57 ST,3,III,3 AV,1 AV,ON,III,2018-11-30T00:00:00,2018-11-30T00:00:00, ,L,1, ,Sharrows
116,134464,GRAND CONCOURSE,2,II,E 161 ST,VAN CORTLANDT AVE E,ON,II,1999-11-01T00:00:00,1999-11-01T00:00:00, ,L,1, ,Standard
117,29418,FRANKLIN AVE,3,III,EASTERN PKWY,EMPIRE BLVD,ON,III,2017-06-07T00:00:00,2017-06-07T00:00:00, ,R,1,Bike-Friendly Parking, 
118,271540,FT HAMILTON PKWY,3,I,E 7 ST,E 5 ST,ON,I,2009-11-01T00:00:00,2009-11-01T00:00:00, ,R,1,Protected Path, 
119,89304,EAST 222 STREET,2,II,WHITE PLAINS RD,BAYCHESTER AVE,ON,II,2013-07-12T00:00:00,2013-07-12T00:00:00, ,2,2,Standard,Standard
120,297258,WOLFE'S POND PARK TRAIL,5,I,IRVINGTON ST,CHISHOLM ST,OFF,I,2008-07-01T00:00:00,2008-07-01T00:00:00, ,2,2,Dirt Trail,Dirt Trail
121,236473,MOSHOLU PKWY GREENWAY,2,I,BRONX PK E,VAN CORTLANDT PK S,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Greenway,Greenway
122,241221,ROOSEVELT ISLAND GREENWAY,1,I,ROOSEVELT ISLAND BR,ROOSEVELT ISLAND BR,OFF,I,1987-01-01T00:00:00,1987-01-01T00:00:00, ,2,2,Greenway,Greenway
123,242245,G WASHINGTON BR,1,I,W 178 ST,NY-NJ BNDY,ON,I,1936-01-01T00:00:00,1936-01-01T00:00:00,Bridge,2,2,Protected Path,Protected Path
124,33009,5 AV,1,II,BROADWAY,W 23 ST,ON,II,1978-07-01T00:00:00,1978-07-01T00:00:00, ,L,1, ,Curbside
125,69629,GERARD AV,2,II,E 167 ST,E 138 ST,ON,II,2007-08-01T00:00:00,2007-08-01T00:00:00, ,R,1,Curbside, 
126,275513,ROOSEVELT ISLAND GREENWAY,1,I,ROOSEVELT ISLAND BR,ROOSEVELT ISLAND BR,OFF,I,1987-01-01T00:00:00,1987-01-01T00:00:00, ,2,2,Greenway,Greenway
127,105036,4 AV,1,I,E 9 ST,E 12 ST,ON,I,1994-05-01T00:00:00,2014-10-01T00:00:00, ,R,1,Protected Path, 
128,163562,11 AVE,3,II,19 ST,18 ST,ON,II,2017-08-18T00:00:00,2017-08-18T00:00:00, ,L,1, ,Curbside
129,11145,MIDLAND AV,5,II,FR CAPODANNO BLVD,HYLAN BLVD,ON,II,1980-07-01T00:00:00,1980-07-01T00:00:00, ,2,2,Standard,Standard
130,190818,E 167 ST,2,II,WALTON AV,GRANT AV,ON,II,2007-07-01T00:00:00,2007-07-01T00:00:00, ,R,1,Standard, 
131,165641,E 71 ST,1,II,YORK AVE,5 AVE,ON,II,2016-08-09T00:00:00,2016-08-09T00:00:00, ,L,1, ,Standard
132,41280,E 56 ST,3,II,FARRAGUT RD,AV T,ON,II,2003-05-01T00:00:00,2003-05-01T00:00:00, ,2,2,Standard,Standard
133,237207,HUTCHINSON RIVER GREENWAY,2,I,BRUCKNER BLVD,PELHAM PKWY GREENWAY,OFF,I,2006-04-01T00:00:00,2006-04-01T00:00:00, ,2,2,Greenway,Greenway
134,158295,ORIENTAL BLVD,3,II,WEST END AV,OXFORD ST,ON,II,2003-05-01T00:00:00,2003-05-01T00:00:00, ,L,1, ,Standard
135,300249,C P N POWELL APPR,1,I,CENTRAL PARK S,CENTRAL PARK N,ON,I,1979-05-01T00:00:00,2018-06-27,Autos limited 2012-09-15.  Fully auto-free 2018-06-27,R,1,Greenway, 
136,152950,34 AV,4,II,59 ST,113 ST,ON,II,1997-04-01T00:00:00,1997-04-01T00:00:00, ,L,1, ,Standard
137,281609,CATHEDRAL PKWY,1,II,COLUMBUS AV,RIVERSIDE DR SERVICE RD,ON,II,2014-10-14T00:00:00,2018-12-07T00:00:00, ,2,2,Standard,Standard
138,9001083,E 120 ST,1,II,5 AV,PALADINO AV,ON,II,2003-06-01T00:00:00,2003-06-01T00:00:00, ,R,1,Standard, 
139,146052,1 AV,1,I,E 1 ST,E 41 ST,ON,I,2007-04-01T00:00:00,2010-10-01T00:00:00, ,R,1,Protected Path, 
140,129643,47 AVE,4,III,49 ST,50 ST,ON,III,2015-12-01T00:00:00,2015-12-01T00:00:00, ,2,2,Signed Route,Signed Route
141,314713,BRUCKNER BLVD,2,I,ST ANNS AV,CYPRESS AV,ON,I,2008-09-01T00:00:00,2017-12-30T00:00:00, ,2,2,Protected Path,Protected Path
142,9003685,DEAN ST,3,II,SMITH ST,ROCHESTER AV,ON,II,2003-11-01T00:00:00,2003-11-01T00:00:00, ,R,1,Standard, 
143,164490,AV C,1,III,E HOUSTON ST,E 4 ST,ON,III,2002-07-01T00:00:00,2008-11-01T00:00:00, ,2,2,Sharrows,Sharrows
144,9003348,AV C,1,II,E 4 ST,E 13 ST,ON,II,2008-11-17T00:00:00,2008-11-17T00:00:00, ,2,2,Standard,Standard
145,67934,43 AV,4,I,SKILLMAN AV,51 ST,ON,I,2009-11-01T00:00:00,2018-10-25T00:00:00, ,R,1,Protected Path, 
146,91149,ELDER AV,4,III,137 ST,133 ST,ON,III,2000-01-01T00:00:00,2000-01-01T00:00:00, ,L,1, ,Signed Route
147,57136,PARSONS BLVD,4,III,88 AV,84 RD,ON,III,2007-09-01T00:00:00,2007-09-01T00:00:00, ,2,2,Sharrows,Sharrows
148,21794,VAN BRUNT ST,3,I,SUMMIT ST,UNION ST,OFF,I,2013-11-05T00:00:00,2013-11-05T00:00:00, ,2,2,Greenway,Greenway
149,159350,HYLAN BLVD,5,II,PAGE AV,POILLON AV,ON,II,2007-10-01T00:00:00,2007-10-01T00:00:00, ,2,2,Curbside,Curbside
150,252277,ERSKINE ST,3,II,SEAVIEW AV,SHORE PKWY GREENWAY,ON,II,2003-01-01T00:00:00,2003-01-01T00:00:00, ,2,2,Curbside,Curbside
151,280425,MANHATTAN COLLEGE PKWY,2,III,WALDO WALK,W 242 ST,ON,III,2009-05-27T00:00:00,2009-05-27T00:00:00, ,2,2,Sharrows,Sharrows
152,157119,MAIN ST,4,III,HOOVER AV,77 RD,ON,III,2000-01-01T00:00:00,2010-06-01T00:00:00, ,L,1, ,Sharrows
153,278192,WEST 167 STREET,2,III,W 168 ST,SEDGWICK AVE,ON,III,2015-06-29T00:00:00,2015-06-29T00:00:00, ,2,2,Sharrows,Sharrows
154,150479,ALLERTON AV,2,II,KINGSLAND AV,BOSTON RD,ON,II,2009-08-01T00:00:00,2009-08-01T00:00:00, ,R,1,Standard, 
155,9003066,PITKIN AVE,3,II,PENNSYLVANIA AVE,FOUNTAIN AVE,ON,II,2015-08-19T00:00:00,2015-08-19T00:00:00, ,2,2,Standard,Standard
156,33106,1 AV,1,I,E 1 ST,E 34 ST,ON,I,2010-10-01T00:00:00,2010-10-01T00:00:00, ,R,1,Protected Path, 
157,19474,BATH AV,3,III,14 AV,BAY 19 ST,ON,III,2018-10-09T00:00:00,2018-10-09T00:00:00, ,2,2,Sharrows,Sharrows
158,89400,BAYCHESTER AV,2,II,E 233 ST,CARPENTER AV,ON,II,2018-06-19T00:00:00,2018-06-19T00:00:00, ,2,2,Standard,Standard
159,163061,NEPTUNE AV,3,II,W 37 ST,BRIGHTON 8 ST,ON,"II,III",2005-08-01T00:00:00,2005-08-01T00:00:00, ,2,2,Standard,Sharrows
160,79627,UNIVERSITY AV,2,III,RESERVOIR AV,W FORDHAM RD,ON,III,2002-06-01T00:00:00,2002-06-01T00:00:00, ,2,2,Sharrows,Sharrows
161,31855,VARICK ST,1,II,CANAL ST,LAIGHT ST,ON,II,2013-11-26T00:00:00,2015-05-19T00:00:00, ,L,1, ,Standard
162,9005819,MADISON ST,1,III,GOUVERNEUR ST,GRAND ST,ON,III,2006-10-01T00:00:00,2006-10-01T00:00:00, ,2,2,Sharrows,Sharrows
163,25073,W 6 ST,3,III,65 ST,86 ST,ON,III,2010-05-01T00:00:00,2010-05-01T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
164,18120,BATTERY PARK CITY GREENWAY,1,I,HUDSON RIVER GREENWAY,HUDSON RIVER GREENWAY,OFF,I,1996-01-01T00:00:00,1996-01-01T00:00:00, ,2,2,Greenway,Greenway
